Table 4 
Stellar Spectrum Fitting Results


Name	log (T_*/K)	log (L_*/L_sun)	A_V	
DP Tau A^a	3.5772 +or- 0.0204	-0.608 +or- 0.231	1.30 +or- 0.73	
DP Tau B^a	3.5515 +or- 0.0265	-0.780 +or- 0.220	1.30 +or- 0.73	
GO Tau	3.5855 +or- 0.0237	-0.544 +or- 0.121	1.73 +or- 0.60	
CIDA 14	3.4948 +or- 0.0202	-0.617 +or- 0.094	1.25 +or- 0.61	
IRAS 04414+2506	3.4529 +or- 0.0314	-1.203 +or- 0.154	2.05 +or- 1.12	
IRAS 04429+1550	3.5425 +or- 0.0181	-0.614 +or- 0.037	0.00 +or- 0.22	
DQ Tau A^a	3.5855 +or- 0.0237	-0.395 +or- 0.164	1.51 +or- 0.60	
DQ Tau B^a	3.5855 +or- 0.0237	-0.395 +or- 0.164	1.51 +or- 0.60	
Haro 6-37 A	3.6085 +or- 0.0225	-0.118 +or- 0.145	1.82 +or- 0.80	
Haro 6-37 B	3.5145 +or- 0.0578	-0.684 +or- 0.169	4.23 +or- 2.19	
Haro 6-37 C	3.5688 +or- 0.0170	-0.515 +or- 0.129	1.46 +or- 0.60	
DR Tau	3.6385 +or- 0.0240	0.259 +or- 0.146	1.36 +or- 0.77	
DS Tau	3.6385 +or- 0.0240	-0.119 +or- 0.162	0.76 +or- 0.71	
UY Aur A	3.5855 +or- 0.0237	0.005 +or- 0.159	1.12 +or- 0.92	
UY Aur B	3.5425 +or- 0.0181	-0.288 +or- 0.160	6.17 +or- 1.53	
St 34 A^a	3.5334 +or- 0.0184	-1.115 +or- 0.072	0.04 +or- 0.78	
St 34 B^a	3.5334 +or- 0.0184	-1.115 +or- 0.072	0.04 +or- 0.78	
St 34 C	3.4854 +or- 0.0199	-1.825 +or- 0.101	0.54 +or- 1.08	
GM Aur	3.6749 +or- 0.0156	0.091 +or- 0.100	1.37 +or- 0.55	
J04554535+3019389	3.4999 +or- 0.0199	-1.122 +or- 0.036	0.00 +or- 0.43	
AB Aur	3.9720 +or- 0.0521	1.566 +or- 0.385	0.31 +or- 0.73	
J04554801+3028050	3.4854 +or- 0.0199	-1.807 +or- 0.075	0.78 +or- 0.63	
J04554969+3019400	3.4757 +or- 0.0196	-1.695 +or- 0.068	0.09 +or- 1.10	
XEST 26-062	3.5145 +or- 0.0193	-0.576 +or- 0.098	1.41 +or- 0.70	
SU Aur	3.7419 +or- 0.0212	1.030 +or- 0.148	1.15 +or- 0.49	
XEST 26-071	3.5241 +or- 0.0188	-0.924 +or- 0.090	1.12 +or- 0.67	
MWC 480	3.9206 +or- 0.0203	1.282 +or- 0.273	0.34 +or- 0.66	
V836 Tau	3.6085 +or- 0.0225	-0.246 +or- 0.113	1.19 +or- 0.55	
CIDA 8	3.5241 +or- 0.0188	-0.704 +or- 0.068	1.55 +or- 0.45	
CIDA 9 A	3.6010 +or- 0.0231	-1.010 +or- 0.255	2.12 +or- 1.05	
CIDA 9 B	3.5602 +or- 0.0347	-1.089 +or- 0.408	5.23 +or- 2.75	
CIDA 11 A^a	3.5241 +or- 0.0188	-0.932 +or- 0.105	0.39 +or- 0.57	
CIDA 11 B^a	3.5048 +or- 0.0295	-1.046 +or- 0.137	0.39 +or- 0.57	
RW Aur A	3.6826 +or- 0.0239	0.276 +or- 0.168	0.37 +or- 0.75	
RW Aur B	3.6385 +or- 0.0240	-0.101 +or- 0.185	2.35 +or- 0.79	
CIDA 12	3.5145 +or- 0.0193	-1.095 +or- 0.056	0.26 +or- 0.47	
Notes.
a The stellar parameters for these close pairs were determined by simultaneous fits to both their composite SEDs and any available contrast ratios, assuming that both components have the same extinction.
b These stars are known or suspected to host edge-on disks. The luminosities and extinctions reported here are the results of the formal measurements described in Appendix B. However, their L_* values are modified before use in Section 3.2, as described in the text.
c The components V807 Tau Bab and V710 Tau B are included here for completeness, but are not considered part of the Class II sample. The stellar photosphere parameters listed here were used to subtract off their contribution to the composite SEDs shown in Appendix B.
